Município;Telefone da Prefeitura;Secretaria de Assistência Social;Secretário(a);Contato da Secretaria;Endereço da Secretaria;Site da Prefeitura;Status do dado;Fonte;Observação
Abadia de Goiás;(62) 3503-1105 Ramal 023;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;KAMYLA CASAGRANDE KUNZ DE OLIVEIRA;(62) 3503-2375;RUA Rua Campinas Qd.20 Lt.21, 0, Parque Izabel, CEP: 75.345-000, ABADIA DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Abadiânia;(62) 3343-1113;PM - SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Fernanda Boeira da Silva Vieira;(62) 3343-1113 Ramal 0;AVENIDA José Gomes Pereira - Antiga Av. Brasília, S/N, CENTRO, CEP: 72.940-000, ABADIANIA/GO;http://www.abadiania.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Acreúna;(64) 3645-8000 Ramal 8011;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL, CIDADANIA, HABITAÇÃO E POLÍTICA PARA MULHER;Adriana Silva de Souza;"(64) 3645-8011 / Tel. (64) 3062-0019 ramal 2034; e-mail smas@acreuna.go.gov.br";RUA Rua João Altino Arantes, 93, Setor Sul, CEP: 75.960-000, ACREUNA/GO;http://www.acreuna.go.gov.br;Confirmado via web;CadSUAS + https://acreuna.go.gov.br/estrutura/secretaria-de-assistencia-social;2026-08 — Página oficial da prefeitura (gestão em exercício, acessada em 11/08/2026) mantém Adriana Silva de Souza como titular da Secretaria Municipal de Assistência Social — mesmo nome do CadSUAS.
Adelândia;(64) 3695-1133;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;LORRANY DA SILVA OLIVEIRA;(64) 3695-1133;AVENIDA JOÃO AFONSO QD.05 LT.1/14, 1, SETOR OURO PRETO, CEP: 76.155-000, ADELANDIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Alexânia;(62) 3336-7200 Ramal 7202;Secretaria Municipal de Assistência Social;TAMARA DE CASTRO TEODORO CARDOSO;(62) 3336-7245 Ramal 7360;RUA Rua 28, QD:32, Lote: 16, 0, CENTRO, CEP: 72.930-000, ALEXANIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Aloândia;(64) 3496-1350;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Welika Silva Costa;(64) 3496-1350;PRAÇA PRAÇA PEDRO CIRIACO DIAS, 01, CENTRO, CEP: 75.615-000, ALOANDIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Alto Horizonte;Oculto para proteção de dados (LGPD);SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;Izabela Cristina Rodrigues de Almeida;(62) 3383-3154;AVENIDA RIBEIRO OTONI, 92, centro, CEP: 76.560-000, ALTO HORIZONTE/GO;-;Atualizado via web;https://www-storage.voxtecnologia.com.br/?m=sigpub.publicacao&f=3392&i=publicado_106710_2025-12-02_adcee3e9449e23c861ed4214708a468f.pdf;2025-12 — Decreto nº 809/2025, de 02/12/2025 (Gabinete do Prefeito de Alto Horizonte, publicado no Diário Municipal de Goiás/AGM ed. 03/12/2025), designa Izabela Cristina Rodrigues de Almeida, 'cargo de Secretária Municipal de Assistência Social', como gestora do convênio com Mara Rosa (Lei Municipal 1.056/2025). O nome do CadSUAS (Maria Aparecida Rodrigues da Cruz) tinha mandato encerrado em 31/12/2024. Site oficial publica apenas telefone do CRAS: (62) 92001-6894.
Alto Paraíso de Goiás;(62) 3446-2053 Ramal 0;Secretaria Municipal de Assistência Social;MAGDA RITA ALVES MACHADO RINCO;(62) 3446-2080;RUA RUA DAS MANGABEIRAS, 00, SETOR PLANALTO, CEP: 73.770-000, ALTO PARAISO DE GOIAS/GO;http://www.altoparaiso.go.gov.br;CadSUAS (cadastro pré-2025, não confirmado);CadSUAS;Site oficial (altoparaiso.go.gov.br) não lista nomes de secretários e nenhuma fonte 2025-2026 nomeando o(a) titular da pasta foi localizada. Termo de Cessão de Uso SEDS 294/2025 (publicado jan/2026) cita apenas o prefeito Marcus Adilson Rinco. O sobrenome do prefeito coincide com o da secretária do CadSUAS (Magda Rita Alves Machado Rinco), o que sugere possível continuidade, mas sem confirmação documental. Telefone geral da prefeitura: (62) 3446-1249.
Alvorada do Norte;(62) 3421-1369;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL E TRABALHO;GERALDA LUCAS MOREIRA;Oculto para proteção de dados (LGPD);AVENIDA Av. Dona Gercina Rodrigues de Miranda S/N, 721, IPIRANGA, CEP: 73.950-000, ALVORADA DO NORTE/GO;-;CadSUAS (gestão atual);CadSUAS;
Amaralina;(62) 3384-3145;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;IRANI DIMAS MACHADO MARQUES;Oculto para proteção de dados (LGPD);RUA ANTONIO CORREIA DE MIRANDA, SN, centro, CEP: 76.493-000, AMARALINA/GO;-;CadSUAS (cadastro pré-2025, não confirmado);CadSUAS;O site oficial (amaralina.go.gov.br) é uma aplicação JavaScript cujas páginas de estrutura/secretarias não expõem conteúdo indexável, e a página da 'Secretaria Municipal de Promoção Social' não retorna o nome do titular. Nenhuma fonte 2025-2026 com o nome do(a) secretário(a) foi encontrada. Mantém-se o CadSUAS (Irani Dimas Machado Marques).
Americano do Brasil;(64) 3504-1213 Ramal 0;Secretaria Municipal de Assistência Social;GLENDA KARLA MOURA CASSIANO;(64) 3504-1280;RUA Modesto Simões, 0, Aeroporto, CEP: 76.165-000, AMERICANO DO BRASIL/GO;-;CadSUAS (gestão atual);CadSUAS;
Amorinópolis;(64) 3677-1151 Ramal 23;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;SUELLEN PRISCILA SILVA;(64) 3677-1151;RUA POUSO ALTO, 0, VILA UNIÃO, CEP: 76.140-000, AMORINOPOLIS/GO;-;CadSUAS (gestão atual);CadSUAS;
Anhanguera;(64) 3469-1105;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;DAYELLE APARECIDA COSTA ARAÚJO DIAS;(64) 3469-1146;RUA PROFESSORA JULIA DE BRITO, 345, CENTRAL, CEP: 75.770-000, ANHANGUERA/GO;http://www.anhg.com.br;CadSUAS (gestão atual);CadSUAS;
Anicuns;(64) 3564-3559 Ramal 1;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Walkenia Maria Leal do Nascimento;"(64) 3564-2090 / Tel. 0800 564 1010; e-mail assistenciasocial@anicuns.go.gov.br";AVENIDA BANDEIRANTES, 96, CENTRO, CEP: 76.170-000, ANICUNS/GO;-;Confirmado via web;CadSUAS + https://anicuns.go.gov.br/estrutura-organizacional?id=5;2026-08 — Site oficial (página indica gestão 2025/2028, acessada em 11/08/2026) confirma Walkenia Maria Leal do Nascimento como titular. No site a pasta aparece com o nome 'Secretaria de Ação Social e Trabalho' — mesma pessoa do CadSUAS.
